"Change Door Play Count","Change Door Win Count","No Change Play Count","No Change Win Count"
0,0,0,0
1,0,0,0
2,1,0,0
3,2,0,0
3,2,1,0
4,3,1,0
5,4,1,0
5,4,2,0
5,4,3,0
5,4,4,0
5,4,5,1
5,4,6,1
5,4,7,1
5,4,8,2
5,4,9,3
6,5,9,3
7,5,9,3
8,5,9,3
9,6,9,3
10,7,9,3
11,8,9,3
12,9,9,3
13,10,9,3
14,11,9,3
15,12,9,3
16,13,9,3
17,14,9,3
18,15,9,3
19,16,9,3
20,17,9,3
21,17,9,3
22,18,9,3
23,19,9,3
24,19,9,3
25,20,9,3
26,21,9,3
27,22,9,3
28,23,9,3
29,24,9,3
30,25,9,3
31,26,9,3
32,27,9,3
33,27,9,3
34,27,9,3
35,27,9,3
36,28,9,3
37,29,9,3
38,30,9,3
39,30,9,3
40,30,9,3
41,30,9,3
42,31,9,3
43,32,9,3
44,32,9,3
45,32,9,3
